date,OPEN,HIGH,LOW,CLOSE,VOLUME,MONEY,FACTOR,superTrend,Trend,SMA10,SMA30,SMA100,SMA120,SMA200,SMA100_trend,SMA30_120_trend,SMA10_200_trend,Volatility,volRank,atr,atrRank,skew,Kurt,VolofVol,volvPctRank,vmPctRank,DailyVol,DailyVolRank
2023-07-21,6397.15,6447.3,6378.2,6401.42,11359084900.0,138788097500.0,1.0,,1,,,,,,0,0,0,,,,,,,56.79144529962402,,,94.19946753021867,
2023-07-24,6397.43,6437.99,6370.05,6393.79,10904946500.0,129838947100.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,78.83543599932622,
2023-07-25,6448.27,6499.42,6444.58,6498.27,14736572700.0,173378677300.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,132.72140126721385,
2023-07-26,6497.59,6497.59,6441.56,6457.25,14958352200.0,156686884800.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,67.58059817773514,
2023-07-27,6458.48,6475.83,6397.59,6407.55,14462435800.0,153183204600.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,58.801775571920466,
2023-07-28,6389.43,6471.68,6369.37,6465.38,15726753200.0,166557072700.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,83.59024649674268,
2023-07-31,6475.83,6549.75,6475.83,6515.85,18381598000.0,200589879400.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,96.29515118571658,
2023-08-01,6513.14,6521.97,6482.17,6507.41,18432646400.0,183590037300.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,79.94525387807079,
2023-08-02,6499.86,6515.07,6475.42,6496.02,16864628900.0,171110955300.0,1.0,,-1,,,,,,0,0,0,,,,,,,56.79144529962402,,,69.92255148081613,
2023-08-03,6472.11,6502.55,6460.28,6499.54,16347139500.0,164830188600.0,1.0,,-1,6464.2480000000005,,,,,0,0,0,,,,,,,56.79144529962402,,,75.19762831340448,
2023-08-04,6514.54,6561.74,6505.86,6535.32,19462299900.0,205415679100.0,1.0,,-1,6477.638000000001,,,,,0,0,0,,,,,,,56.79144529962402,,,100.29409012466552,
2023-08-07,6524.3,6532.52,6485.66,6503.98,16891941200.0,185333349100.0,1.0,,-1,6488.657000000001,,,,,0,0,0,,,,,,,56.79144529962402,,,60.203159761604994,
2023-08-08,6496.59,6500.9,6457.25,6471.34,14274341400.0,154646581000.0,1.0,,-1,6485.964,,,,,0,0,0,,,,,,,56.79144529962402,,,65.98954576585437,
2023-08-09,6452.98,6464.36,6411.23,6420.98,13231946700.0,148343588000.0,1.0,,-1,6482.3369999999995,,,,,0,0,0,,,,,,,56.79144529962402,,,77.4363646550379,
2023-08-10,6409.22,6438.43,6392.89,6426.81,13195769200.0,134873259700.0,1.0,,-1,6484.262999999999,,,,,0,0,0,,,,,,,56.79144529962402,,,60.10751284429464,
2023-08-11,6428.88,6428.88,6304.64,6304.64,14901672900.0,149330410500.0,1.0,,-1,6468.188999999999,,,,,0,0,0,,,,,,,56.79144529962402,,,78.08347650761223,
2023-08-14,6251.97,6320.95,6213.98,6319.41,13839222100.0,145626319600.0,1.0,,-1,6448.545,,,,,0,0,0,,,,,,,56.79144529962402,,,152.5703738828487,
2023-08-15,6318.55,6325.57,6203.44,6261.73,12270310700.0,132851532000.0,1.0,,-1,6423.976999999999,,,,,0,0,0,,,,,,,56.79144529962402,,,108.48364232969242,
2023-08-16,6240.71,6255.81,6186.4,6186.4,12495875900.0,132390724400.0,1.0,,-1,6393.0149999999985,,,,,0,0,0,,,,,,,56.79144529962402,,,103.23254984814157,
