date,OPEN,HIGH,LOW,CLOSE,VOLUME,MONEY,FACTOR,superTrend,Trend,SMA10,SMA30,SMA100,SMA120,SMA200,SMA100_trend,SMA30_120_trend,SMA10_200_trend,Volatility,volRank,atr,atrRank,skew,Kurt,VolofVol,volvPctRank,vmPctRank,DailyVol,DailyVolRank
2023-07-21,3816.98,3849.51,3808.8,3821.91,7950756300.0,157144211200.0,1.0,,1,,,,,,0,0,0,,,,,,,61.215421614834554,,,86.23000949148813,
2023-07-24,3803.35,3828.79,3798.8,3805.22,7548354500.0,151448369600.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,84.29694169243173,
2023-07-25,3866.64,3915.81,3866.64,3915.12,16306632000.0,299853562200.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,234.31394068351085,
2023-07-26,3908.17,3912.98,3893.4,3907.01,10788171700.0,192912604800.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,51.03518511995975,
2023-07-27,3914.23,3935.36,3894.69,3902.35,11066710900.0,196845425500.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,65.65686039337588,
2023-07-28,3889.79,4000.92,3886.55,3992.74,17973548100.0,310092467400.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,115.94667350211999,
2023-07-31,4018.89,4064.36,4002.08,4014.63,19960683000.0,366544120000.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,175.19287584221246,
2023-08-01,4009.18,4031.7,3983.14,3998.0,14228685900.0,255620773600.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,96.60285090440793,
2023-08-02,3985.7,4008.33,3958.51,3969.9,12585569000.0,204875690900.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.215421614834554,,,89.38439260296211,
2023-08-03,3962.13,4005.0,3962.13,4004.98,12900664000.0,224809824800.0,1.0,,-1,3933.186,,,,,0,0,0,,,,,,,61.215421614834554,,,90.22799198328316,
2023-08-04,4033.72,4058.24,4011.62,4020.58,17826718900.0,316529733800.0,1.0,,-1,3953.053,,,,,0,0,0,,,,,,,61.215421614834554,,,155.68643961082444,
2023-08-07,4002.97,4002.97,3977.02,3990.15,12131066200.0,227090572800.0,1.0,,-1,3971.546,,,,,0,0,0,,,,,,,61.215421614834554,,,105.29378980486092,
2023-08-08,3980.04,4002.29,3963.46,3979.73,10987169900.0,202611335300.0,1.0,,-1,3978.007,,,,,0,0,0,,,,,,,61.215421614834554,,,96.52121081958045,
2023-08-09,3967.36,3982.11,3961.84,3967.57,9464026900.0,174394242800.0,1.0,,-1,3984.0629999999996,,,,,0,0,0,,,,,,,61.215421614834554,,,59.333559724519944,
2023-08-10,3962.86,3976.46,3945.39,3975.72,9717684900.0,175646730200.0,1.0,,-1,3991.4,,,,,0,0,0,,,,,,,61.215421614834554,,,75.39761251930868,
2023-08-11,3977.98,3977.98,3884.25,3884.25,12608293100.0,203546314600.0,1.0,,-1,3980.5510000000004,,,,,0,0,0,,,,,,,61.215421614834554,,,91.39809488879763,
2023-08-14,3840.89,3859.47,3814.07,3855.91,11596633600.0,197623765200.0,1.0,,-1,3964.679000000001,,,,,0,0,0,,,,,,,61.215421614834554,,,168.5354604103119,
2023-08-15,3858.37,3865.28,3811.68,3846.54,10309711100.0,177437071700.0,1.0,,-1,3949.533000000001,,,,,0,0,0,,,,,,,61.215421614834554,,,97.4957545092746,
2023-08-16,3830.83,3852.42,3817.63,3818.33,9461694600.0,169323869000.0,1.0,,-1,3934.376000000001,,,,,0,0,0,,,,,,,61.215421614834554,,,88.1219870442827,
2023-08-17,3801.2,3836.15,3782.5,3831.1,9841549300.0,174093848200.0,1.0,,-1,3916.9880000000003,,,,,0,0,0,,,,,,,61.215421614834554,,,140.42294077307957,
2023-08-18,3832.46,3844.2,3784.0,3784.0,9554963800.0,168445687000.0,1.0,,-1,3893.3300000000004,,,,,0,0,0,,,,,,,61.215421614834554,,,94.67110651001934,
2023-08-21,3773.23,3782.11,3729.56,3729.56,9870836900.0,173379942900.0,1.0,3918.3764285714287,-1,3867.2709999999997,,,,,0,0,0,,,54.18047619047617,,,,61.215421614834554,,,121.22292906073683,
2023-08-22,3748.07,3770.06,3704.68,3758.23,12031832700.0,203463879700.0,1.0,3901.5113605442175,-1,3845.121,,,,,0,0,0,,,54.713786848072544,,,,61.215421614834554,,,162.71498690102206,
2023-08-23,3751.77,3756.17,3695.03,3696.63,9708163800.0,160476231600.0,1.0,3890.953676708779,-1,3818.0269999999996,,,,,0,0,0,,,55.117892236259564,,,,61.215421614834554,,,97.89664184001249,
2023-08-24,3711.54,3748.86,3701.57,3723.43,11961452100.0,196257391100.0,1.0,3890.1561206750275,-1,3792.798,,,,,0,0,0,,,54.980373558342436,,,,61.215421614834554,,,127.32990348189567,
2023-08-25,3703.51,3734.22,3695.84,3709.15,10518261000.0,175601437200.0,1.0,3877.599638738121,-1,3775.2879999999996,,,,,0,0,0,,,54.18987957937373,,,,61.215421614834554,,,149.6043839262618,
2023-08-28,3911.55,3911.55,3740.53,3752.62,19799037900.0,335047671000.0,1.0,3877.599638738121,-1,3764.9590000000003,,,,,0,0,0,,,61.24750436130832,,,,61.215421614834554,,,454.78725547275576,
