date,OPEN,HIGH,LOW,CLOSE,VOLUME,MONEY,FACTOR,superTrend,Trend,SMA10,SMA30,SMA100,SMA120,SMA200,SMA100_trend,SMA30_120_trend,SMA10_200_trend,Volatility,volRank,atr,atrRank,skew,Kurt,VolofVol,volvPctRank,vmPctRank,DailyVol,DailyVolRank
2023-07-21,2501.4,2527.28,2496.81,2509.29,2241300500.0,45052392100.0,1.0,,1,,,,,,0,0,0,,,,,,,77.49859187704125,,,91.10398941429244,
2023-07-24,2492.22,2509.78,2492.19,2500.0,1906578900.0,34856260200.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,89.30488361788038,
2023-07-25,2539.48,2578.96,2539.48,2578.35,4035765300.0,79008147700.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,259.56217642508653,
2023-07-26,2574.81,2581.25,2564.89,2576.39,2607063500.0,44788260400.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,49.44298657927339,
2023-07-27,2580.24,2596.33,2569.1,2575.36,2976257200.0,49060162800.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,71.55234990297267,
2023-07-28,2564.87,2653.26,2563.16,2647.03,4856652800.0,86726876200.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,135.7661609612629,
2023-07-31,2666.49,2700.74,2644.09,2653.37,5174480600.0,99450613400.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,202.17000997953215,
2023-08-01,2652.24,2670.25,2636.21,2645.89,3917887500.0,68052476600.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,104.83021583997996,
2023-08-02,2635.55,2651.18,2612.35,2620.68,3712302900.0,56598618400.0,1.0,,-1,,,,,,0,0,0,,,,,,,77.49859187704125,,,111.82052611233563,
2023-08-03,2617.79,2647.36,2612.4,2645.15,3404230400.0,63279356000.0,1.0,,-1,2595.1510000000003,,,,,0,0,0,,,,,,,77.49859187704125,,,99.74160169440637,
2023-08-04,2664.59,2680.74,2646.15,2648.84,4820363400.0,84194648000.0,1.0,,-1,2609.106,,,,,0,0,0,,,,,,,77.49859187704125,,,167.03575685444693,
2023-08-07,2635.78,2636.69,2622.67,2634.58,3174860900.0,55108582200.0,1.0,,-1,2622.564,,,,,0,0,0,,,,,,,77.49859187704125,,,113.11177730589586,
2023-08-08,2625.67,2646.6,2610.81,2631.38,2736648600.0,50836904200.0,1.0,,-1,2627.867,,,,,0,0,0,,,,,,,77.49859187704125,,,123.20111825953978,
2023-08-09,2623.15,2638.09,2622.06,2628.7,2398730700.0,43024801800.0,1.0,,-1,2633.0980000000004,,,,,0,0,0,,,,,,,77.49859187704125,,,57.906676408061394,
2023-08-10,2623.8,2632.57,2609.82,2629.44,2462832500.0,42538513300.0,1.0,,-1,2638.5060000000003,,,,,0,0,0,,,,,,,77.49859187704125,,,81.3504275848389,
2023-08-11,2630.99,2631.8,2568.9,2568.9,3599680200.0,56193241300.0,1.0,,-1,2630.693,,,,,0,0,0,,,,,,,77.49859187704125,,,96.54980014474393,
2023-08-14,2538.85,2554.39,2526.07,2549.28,3354409800.0,51938867400.0,1.0,,-1,2620.2840000000006,,,,,0,0,0,,,,,,,77.49859187704125,,,163.49855324109402,
2023-08-15,2550.94,2556.0,2522.24,2546.44,2788849100.0,46065116600.0,1.0,,-1,2610.3390000000004,,,,,0,0,0,,,,,,,77.49859187704125,,,100.21691541880102,
2023-08-16,2533.9,2549.94,2529.43,2530.81,2562980600.0,44756946100.0,1.0,,-1,2601.3520000000003,,,,,0,0,0,,,,,,,77.49859187704125,,,92.44980038898514,
2023-08-17,2516.75,2540.54,2507.9,2536.49,2478354400.0,44195356200.0,1.0,,-1,2590.486,,,,,0,0,0,,,,,,,77.49859187704125,,,131.23290573003283,
2023-08-18,2537.14,2545.8,2507.58,2507.58,2630578100.0,44099171500.0,1.0,,-1,2576.3599999999997,,,,,0,0,0,,,,,,,77.49859187704125,,,99.39627775745825,
2023-08-21,2498.13,2508.96,2475.09,2475.09,2864364700.0,47508877700.0,1.0,2605.7078571428574,-1,2560.4109999999996,,,,,0,0,0,,,37.89428571428574,,,,77.49859187704125,,,126.88718216045321,
2023-08-22,2485.56,2505.03,2464.28,2493.76,4126152000.0,58477808000.0,1.0,2598.745816326531,-1,2546.649,,,,,0,0,0,,,38.03027210884356,,,,77.49859187704125,,,156.7347718070511,
2023-08-23,2491.37,2498.32,2459.33,2461.19,2965461700.0,43379265200.0,1.0,2593.0529203109813,-1,2529.8979999999997,,,,,0,0,0,,,38.075973436993884,,,,77.49859187704125,,,97.57645447000664,
2023-08-24,2468.32,2497.19,2466.86,2480.75,3666582000.0,51892679000.0,1.0,2593.0529203109813,-1,2515.0289999999995,,,,,0,0,0,,,37.977117559041794,,,,77.49859187704125,,,117.18515099136195,
2023-08-25,2468.74,2502.19,2466.55,2485.33,3008535300.0,45300298200.0,1.0,2593.0529203109813,-1,2506.6719999999996,,,,,0,0,0,,,37.86582624670647,,,,77.49859187704125,,,144.75854894274298,
2023-08-28,2612.31,2612.98,2507.98,2518.19,5452723900.0,94406029800.0,1.0,2593.0529203109813,-1,2503.562999999999,,,,,0,0,0,,,42.141263092101404,,,,77.49859187704125,,,466.8997426205234,
2023-08-29,2512.32,2546.69,2511.79,2529.22,3990953400.0,64006134500.0,1.0,2593.0529203109813,-1,2501.8409999999994,,,,,0,0,0,,,41.79644104009658,,,,77.49859187704125,,,108.21014568190222,
2023-08-30,2540.84,2540.84,2518.66,2522.54,3581796200.0,55190681800.0,1.0,2593.0529203109813,-1,2501.0139999999997,,,,,0,0,0,,,40.862324800092,,,,77.49859187704125,,,92.76049142662869,
2023-08-31,2526.69,2532.17,2505.83,2510.46,2968520200.0,46242837400.0,1.0,2593.0529203109813,-1,2498.410999999999,2561.349333333333,,,,0,0,0,,,40.170785523897145,,,,77.49859187704125,0.5166666666666667,0.43333333333333335,65.71188105484501,0.1
2023-09-01,2520.7,2544.05,2520.7,2532.25,2908210400.0,46333399400.0,1.0,2593.0529203109813,-1,2500.8779999999992,2562.114666666667,,,,0,0,0,17.234394682570315,,39.85741478466395,,0.9231060892280112,0.9231060892280112,77.49859187704125,0.5161290322580645,0.3870967741935484,133.53058586096407,0.7419354838709677
2023-09-04,2550.17,2583.67,2547.59,2577.47,4065693600.0,67613130100.0,1.0,2593.0529203109813,-1,2511.115999999999,2564.697,,,,0,0,0,17.893581407316002,,40.408014080632334,,0.7565567945944551,0.7565567945944551,77.49859187704125,0.515625,0.84375,135.98191302126594,0.78125
2023-09-05,2569.76,2569.76,2557.97,2561.79,2668467300.0,47627591900.0,1.0,2593.0529203109813,-1,2517.9189999999994,2564.1449999999995,,,,0,0,0,15.59541096671161,,39.41239436250699,,0.4986810770902784,0.4986810770902784,77.49859187704125,0.5151515151515151,0.2727272727272727,86.32800683071937,0.18181818181818182
2023-09-06,2553.59,2564.43,2544.6,2559.36,2386205400.0,41578603700.0,1.0,2593.0529203109813,-1,2527.736,2563.577333333333,,,,0,0,0,15.596109283966934,,38.47989939286379,,0.5006297030417219,0.5006297030417219,77.49859187704125,0.5147058823529411,0.08823529411764706,73.64806217487472,0.14705882352941177
2023-09-07,2552.36,2552.86,2531.1,2534.16,2524243200.0,40426844400.0,1.0,2593.0529203109813,-1,2533.0769999999998,2562.2039999999997,,,,0,0,0,15.839438885439712,,37.99323751701314,,0.5456920615624555,0.5456920615624555,77.49859187704125,0.5142857142857142,0.2,88.5461214260593,0.22857142857142856
