date,OPEN,HIGH,LOW,CLOSE,VOLUME,MONEY,FACTOR,superTrend,Trend,SMA10,SMA30,SMA100,SMA120,SMA200,SMA100_trend,SMA30_120_trend,SMA10_200_trend,Volatility,volRank,atr,atrRank,skew,Kurt,VolofVol,volvPctRank,vmPctRank,DailyVol,DailyVolRank
2023-07-21,5914.35,5961.05,5904.79,5925.63,8197530700.0,107065413900.0,1.0,,1,,,,,,0,0,0,,,,,,,61.4432202216396,,,85.11828067901911,
2023-07-24,5913.57,5954.24,5896.45,5916.71,7592800100.0,99623302700.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,73.98597813074203,
2023-07-25,5976.97,6016.75,5971.73,6016.63,13189639200.0,145732847100.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,150.95930489860305,
2023-07-26,6014.76,6015.58,5984.39,6001.54,12182521900.0,120547387600.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,56.95531985892155,
2023-07-27,5998.85,6017.67,5952.89,5961.18,12300082500.0,117272101600.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,52.147513363659456,
2023-07-28,5945.91,6049.76,5932.06,6043.24,16317187100.0,149147477700.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,74.34963904411411,
2023-07-31,6059.11,6133.72,6059.11,6088.24,18655110300.0,179595743500.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,116.710280485252,
2023-08-01,6086.9,6113.98,6077.11,6098.88,18758860000.0,166628364700.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,81.2914113088136,
2023-08-02,6088.14,6111.24,6059.87,6077.46,14715452900.0,135758673300.0,1.0,,-1,,,,,,0,0,0,,,,,,,61.4432202216396,,,77.43715544750258,
2023-08-03,6062.64,6101.81,6047.68,6098.69,14647901100.0,138777463900.0,1.0,,-1,6022.82,,,,,0,0,0,,,,,,,61.4432202216396,,,83.51597662801284,
2023-08-04,6126.15,6164.16,6105.64,6128.56,19694350100.0,186850093600.0,1.0,,-1,6043.112999999999,,,,,0,0,0,,,,,,,61.4432202216396,,,115.64655358151562,
2023-08-07,6115.84,6117.92,6072.54,6090.73,14531913700.0,154416328500.0,1.0,,-1,6060.514999999999,,,,,0,0,0,,,,,,,61.4432202216396,,,71.97476443944018,
2023-08-08,6077.3,6088.1,6044.24,6066.1,12154572800.0,131357351500.0,1.0,,-1,6065.4619999999995,,,,,0,0,0,,,,,,,61.4432202216396,,,77.13171669351604,
2023-08-09,6049.45,6062.02,6012.25,6021.75,9880917400.0,116294678400.0,1.0,,-1,6067.482999999999,,,,,0,0,0,,,,,,,61.4432202216396,,,66.23491858647888,
2023-08-10,6013.35,6040.46,5999.56,6031.71,9984263800.0,103950301400.0,1.0,,-1,6074.535999999999,,,,,0,0,0,,,,,,,61.4432202216396,,,58.49149434933368,
2023-08-11,6030.05,6030.05,5913.35,5913.35,11307200700.0,115393420300.0,1.0,,-1,6061.547,,,,,0,0,0,,,,,,,61.4432202216396,,,83.69917686495715,
2023-08-14,5864.48,5919.8,5833.46,5916.8,10367570600.0,116321082200.0,1.0,,-1,6044.403,,,,,0,0,0,,,,,,,61.4432202216396,,,143.39886591807064,
2023-08-15,5919.77,5926.42,5830.97,5879.78,9241738100.0,107626210800.0,1.0,,-1,6022.493,,,,,0,0,0,,,,,,,61.4432202216396,,,101.09868190996384,
2023-08-16,5858.6,5891.81,5833.22,5833.22,10495042500.0,114013689400.0,1.0,,-1,5998.069,,,,,0,0,0,,,,,,,61.4432202216396,,,100.83538528282466,
2023-08-17,5808.91,5882.15,5778.53,5874.36,11357638400.0,120852973500.0,1.0,,-1,5975.636,,,,,0,0,0,,,,,,,61.4432202216396,,,148.39739146472706,
2023-08-18,5875.11,5891.4,5777.8,5777.8,10293184500.0,109766358600.0,1.0,,-1,5940.56,,,,,0,0,0,,,,,,,61.4432202216396,,,93.15641539651087,
2023-08-21,5764.67,5802.51,5710.78,5710.78,9283569800.0,96691987100.0,1.0,5976.0478571428575,-1,5902.5650000000005,,,,,0,0,0,,,73.1342857142857,,,,61.4432202216396,,,111.87382706163815,
2023-08-22,5733.25,5754.57,5646.51,5741.06,10617519300.0,120035178900.0,1.0,5924.932244897959,-1,5870.061000000001,,,,,0,0,0,,,74.79741496598635,,,,61.4432202216396,,,175.28302606207214,
2023-08-23,5732.39,5732.39,5629.5,5629.5,9418672500.0,101871329200.0,1.0,5910.589042759961,-1,5830.836000000001,,,,,0,0,0,,,76.54801425332036,,,,61.4432202216396,,,117.04759118387051,
2023-08-24,5650.36,5701.32,5619.33,5652.67,10808677100.0,120640882900.0,1.0,5890.746469295201,-1,5792.932000000001,,,,,0,0,0,,,76.80715643173367,,,,61.4432202216396,,,143.32610352264692,
2023-08-25,5624.77,5648.62,5560.22,5581.21,10624160200.0,114730298300.0,1.0,5837.0761612335245,-1,5759.718000000001,,,,,0,0,0,,,77.55205374450826,,,,61.4432202216396,,,174.83458781394137,
2023-08-28,5885.88,5887.51,5631.69,5644.14,18574561900.0,181457042400.0,1.0,5837.0761612335245,-1,5732.452,,,,,0,0,0,,,88.44481309000787,,,,61.4432202216396,,,470.23761480246174,
2023-08-29,5631.01,5789.96,5626.52,5770.32,16085189500.0,165476278800.0,1.0,5837.0761612335245,-1,5721.506,,,,,0,0,0,,,92.01601246667414,,,,61.4432202216396,,,123.57201624996704,
2023-08-30,5780.28,5817.73,5753.22,5775.15,13600438400.0,145078565400.0,1.0,5837.0761612335245,-1,5715.6990000000005,,,,,0,0,0,,,90.70620234921344,,,,61.4432202216396,,,121.43699311731359,
2023-08-31,5770.95,5777.42,5728.47,5739.4,11633513400.0,121252796200.0,1.0,5837.0761612335245,-1,5702.203,5900.219666666668,,,,0,0,0,,,88.71781176115564,,,,61.4432202216396,0.5166666666666667,0.5333333333333333,70.57366340689438,0.16666666666666666
2023-09-01,5746.41,5775.18,5732.97,5750.8,10417910300.0,107061408600.0,1.0,5837.0761612335245,-1,5699.503000000001,5894.392000000001,,,,0,0,0,15.688078859421815,,86.50315405824347,,0.16735409911151455,0.16735409911151455,61.4432202216396,0.5161290322580645,0.3225806451612903,73.70799492884427,0.22580645161290322
2023-09-04,5772.03,5829.78,5758.03,5829.78,13564887300.0,135994054200.0,1.0,5837.0761612335245,-1,5711.403,5891.494333333334,,,,0,0,0,16.23728069933311,,86.14490862689851,,0.0981856046780186,0.0981856046780186,61.4432202216396,0.515625,0.6875,97.12422562596545,0.53125
2023-09-05,5819.97,5822.06,5779.37,5788.71,10651765800.0,114971726100.0,1.0,5837.0761612335245,-1,5716.168000000001,5883.897,,,,0,0,0,15.503247961677122,,84.44324631133192,,0.1634572866540969,0.1634572866540969,61.4432202216396,0.5151515151515151,0.42424242424242425,77.9969900456378,0.36363636363636365
2023-09-06,5771.85,5800.96,5748.65,5790.38,9048050200.0,106512753400.0,1.0,5837.0761612335245,-1,5732.256,5876.858333333334,,,,0,0,0,15.504506889497138,,82.91309172507803,,0.13338082657815187,0.13338082657815187,61.4432202216396,0.5147058823529411,0.08823529411764706,105.68825951550083,0.6176470588235294
2023-09-07,5782.07,5782.07,5701.8,5702.7,9292051800.0,105713167300.0,1.0,5837.0761612335245,-1,5737.259,5868.242333333334,,,,0,0,0,15.940860339226184,,83.18294450007431,,0.12147139431831894,0.12147139431831894,61.4432202216396,0.5142857142857142,0.17142857142857143,72.28490625091632,0.2
2023-09-08,5684.66,5732.37,5683.4,5708.62,7952002800.0,93059123300.0,1.0,5837.0761612335245,-1,5750.000000000001,5857.088333333334,,,,0,0,0,15.318921634684902,,81.55375666673746,,0.1387001507703485,0.1387001507703485,61.4432202216396,0.5138888888888888,0.05555555555555555,76.41648201485206,0.3055555555555556
2023-09-11,5723.02,5802.21,5704.7,5774.73,11283713700.0,132425678100.0,1.0,5837.0761612335245,-1,5763.059000000001,5846.638000000002,,,,0,0,0,15.57433410311436,,82.31357777784521,,0.1482028228761951,0.1482028228761951,61.4432202216396,0.5135135135135135,0.5135135135135135,112.99014962138521,0.6756756756756757
2023-09-12,5774.47,5793.83,5763.3,5770.93,8604120700.0,105032116600.0,1.0,5837.0761612335245,-1,5763.120000000001,5835.706333333334,,,,0,0,0,15.544321352278093,,79.84769312175733,,0.1734990410014707,0.1734990410014707,61.4432202216396,0.5131578947368421,0.10526315789473684,53.997210827624876,0.05263157894736842
2023-09-13,5764.82,5770.41,5681.5,5715.4,9147247300.0,101933192500.0,1.0,5837.0761612335245,-1,5757.145000000001,5823.637666666667,,,,0,0,0,15.698720399167934,,80.30399344929272,,0.21632418131274672,0.21632418131274672,61.4432202216396,0.5128205128205128,0.15384615384615385,82.05487067280299,0.4358974358974359
2023-09-14,5714.67,5721.21,5679.2,5702.1,9024779200.0,97979765500.0,1.0,5837.0761612335245,-1,5753.415000000001,5810.4180000000015,,,,0,0,0,15.614653916597454,,78.48046995170736,,0.276197400606452,0.276197400606452,61.4432202216396,0.5125,0.125,68.80714490523711,0.15
2023-09-15,5716.29,5741.07,5680.9,5704.66,9837596400.0,110557876200.0,1.0,5837.0761612335245,-1,5748.801000000001,5796.288000000001,,,,0,0,0,15.495334695054078,,77.60854281114987,,0.3179171840071658,0.3179171840071658,61.4432202216396,0.5121951219512195,0.2926829268292683,86.29678353043224,0.5365853658536586
